Titr,Lead,Date,Time,Tags
                 لحظه تکان‌دهنده برق‌گرفتگی بالای تیر برق             ,,"[17, 6, 2023]","[14, 43]","['ترمیمنمره', 'تابناکباتو', 'پاداشنجومی']"
                 کشف ۴۵ کیسه حاوی اجساد انسان             ,,"[3, 6, 2023]","[18, 0]","['امورروتین', 'تابناکباتو', 'جسد']"
                 سرنوشت تلخ مادر «بابک خرمدین» پس از آزادی             ,,"[21, 5, 2023]","[8, 20]","['پیوندکلیه', 'تابناکباتو', 'عمرجاودان']"
                 اعترافات عجیب مردی که خواهرش رادرخیابان آتش زد             ,,"[7, 5, 2023]","[17, 45]","['شاهزادهچالرز', 'فشارخون', 'حادثه']"
                 هیکل کشتی‌گیری که امروز از حسن یزدانی ۲ امتیاز گرفت             ,,"[26, 5, 2023]","[20, 27]","['حسنیزدانی', 'کشتیآزاد', 'هادیوفاییپور', 'جامتختی']"
                 دارندگان این اسم و فامیل‌ها برای تغییر نام اقدام کنند             ,                  سازمان ثبت احوال کشور در سایت خود اعلام کرد که صاحبان این نام‌ها و نام‌های خانوادگی باید برای تغییر اسامی خود اقدام کنند.                  ,"[9, 7, 2023]","[8, 37]","['ثبتاحوال', 'تغییرنام', 'تغییرنامخانوادگی', 'شناسنامه']"
                 خواستگاری زن معروف عرب از رونالدو: حاضرم زن دومش باشم             ,                  من اعتراف می کنم حتی اگر همسر دوم رونالدو هم بشوم با زندگی کنار یک زن دیگر مشکلی ندارم. من آرزو دارم همسر رونالدو باشم                  ,"[23, 5, 2023]","[14, 38]","['کریستیانورونالدو', 'ملکهزیبایی', 'خواستگاریعجیب', 'النصرعربستان']"
                 آلوده‌ترین عضو بدن را بشناسید             ,                  هریک از اعضای بدن ما ساختار ویژه خود را دارد. جالب است بدانید بین این‌همه اعضای بدن آلوده‌ترین آن کدام است.                  ,"[12, 7, 2023]","[16, 57]","['ناف', 'سلولهایمرده', 'بدن']"
                 زنان زیبای اوکراینی در خط مقدم             ,,"[25, 6, 2023]","[14, 10]","['باندقاچاق', 'تابناکباتو', 'سنگلوزه']"
                 این مرد از دخترش ۷ بچه دارد!             ,,"[5, 5, 2023]","[13, 51]","['پرسپولیس', 'تبکریمه', 'تابناکباتو']"
