Top pages,Clicks,Impressions,CTR,service,category,bato
https://www.tabnak.ir/fa/news/1179444/لحظه-تکان‌دهنده-برق‌گرفتگی-بالای-تیر-برق,703684,3519621,19.99%,1,4,22
https://www.tabnak.ir/fa/news/1177772/کشف-۴۵-کیسه-حاوی-اجساد-انسان,420288,2830947,14.85%,1,2,39
https://www.tabnak.ir/fa/news/1176017/سرنوشت-تلخ-مادر-بابک-خرمدین-پس-از-آزادی,378152,2530216,14.95%,1,7,22
https://www.tabnak.ir/fa/news/1174284/اعترافات-عجیب-مردی-که-خواهرش-رادرخیابان-آتش-زد,355107,1934838,18.35%,1,4,21
https://www.tabnak.ir/fa/news/1176766/هیکل-کشتی‌گیری-که-امروز-از-حسن-یزدانی-۲-امتیاز-گرفت,319367,2783332,11.47%,2,6,0
https://www.tabnak.ir/fa/news/1182373/دارندگان-این-اسم-و-فامیل‌ها-برای-تغییر-نام-خود-اقدام-کنند,299546,1997971,14.99%,1,3,0
https://www.tabnak.ir/fa/news/1176370/خواستگاری-زن-معروف-عرب-از-رونالدو-حاضرم-زن-دومش-باشم,273120,2459813,11.1%,2,0,0
https://www.tabnak.ir/fa/news/1182955/آلوده‌ترین-عضو-بدن-را-بشناسید,245060,1834475,13.36%,1,5,0
https://www.tabnak.ir/fa/news/1180501/زنان-زیبای-اوکراینی-در-خط-مقدم,244596,1616072,15.14%,1,1,23
https://www.tabnak.ir/fa/news/1173933/این-مرد-از-دخترش-۷-بچه-دارد,209209,1167650,17.92%,1,3,23
https://www.tabnak.ir/fa/news/1182844/اولین-اظهارات-رائفی‌پور-از-عربستان,207126,1724897,12.01%,4,4,0
https://www.tabnak.ir/fa/news/1175951/خروج-بیش-از-۲-هزار-مهاجر-افغانستانی-از-مرزهای-ایران,196069,1305571,15.02%,1,1,0
https://www.tabnak.ir/fa/news/1172839/ماجرای-پیش-بینی-زلزله-شناس-هلندی-درباره-ایران,183323,1082940,16.93%,1,9,0
https://www.tabnak.ir/fa/news/1183085/دختری-که-میمون‌های-جنگل-بزرگش-کردند,176809,1126299,15.7%,1,5,22
https://www.tabnak.ir/fa/news/1179934/شغل-عجیب-وریا-غفوری-پس-از-خداحافظی,175068,1440068,12.16%,1,4,0
https://www.tabnak.ir/fa/news/1179955/فیلم-حرکت-زشت-بازیکن-عراق-مقابل-دروازه-ایران,159542,1409520,11.32%,2,5,0
https://www.tabnak.ir/fa/news/1177442/پاسخ-باورنکردنی-یک-دانش-آموز-به-سوال-امتحان-نهایی,155038,1093078,14.18%,1,2,0
https://www.tabnak.ir/fa/news/1179334/رسم-عجیب-در-مراسم-عروسی-در-ترکیه,152012,1164082,13.06%,1,4,22
https://www.tabnak.ir/fa/news/1182835/این-زن-تبهکار-را-شناسایی-کنید,144537,488403,29.59%,1,5,0
https://www.tabnak.ir/fa/news/1183043/علت-بازداشت-رائفی‌پور-در-عربستان-چیست,130090,1119793,11.62%,4,3,0
https://www.tabnak.ir/fa/news/1180979/واکنش-محیط-زیست-به-وجود-مار-غول-پیکر-در-گیلان,129682,948707,13.67%,1,9,0
https://www.tabnak.ir/fa/news/1180742/آتش-زدن-دو-خودرو-لوکس-۱۴-میلیاردی-در-هرمزگان,127477,967608,13.17%,1,2,0
https://www.tabnak.ir/fa/news/1181359/عکس-لحظه-دستگیری-هانی-کُرده-توسط-پلیس,127287,632261,20.13%,2,9,0
https://www.tabnak.ir/fa/news/1181902/یک-مادر-در-انتظار-فرزندش-پشت-در-سالن-کنکور,126904,958078,13.25%,1,2,0
https://www.tabnak.ir/fa/news/1179392/شهر‌های-مختلف-ایران-اگر-آدم-بودند-این-شکلی-می‌شدند,112385,1053717,10.67%,1,2,24
https://www.tabnak.ir/fa/news/1180323/جدول-لیگ-ملتهای-والیبال-ایران-بالاتر-از-قهرمان-المپیک,110798,833763,13.29%,2,3,0
https://www.tabnak.ir/fa/news/1181223/سرگذشت-غمگین-مردی-که-دو-صورت-داشت,110432,600127,18.4%,1,3,21
https://www.tabnak.ir/fa/news/1182186/آماده‌باش-امنیتی-در-پمپ‌بنزین‌ها-واقعیت-دارد,107096,681945,15.7%,1,6,0
https://www.tabnak.ir/fa/news/1182114/یافتن-جسد-جوان-مفقودی-بعد-از-۸-ساعت-جستجو,99407,588171,16.9%,1,4,0
https://www.tabnak.ir/fa/news/1172967/موجودی-حساب-عضو-خبرگان-هنگام-حمله-مسلحانه,98857,591575,16.71%,1,7,0
https://www.tabnak.ir/fa/news/1180578/ستاره-رئال-مادرید-در-یکقدمی-تراکتور,97310,898257,10.83%,2,8,0
https://www.tabnak.ir/fa/news/1181089/عبدی-خواستار-رسیدگی-قضایی-به-ادعای-مداح-مشهور-شد,90423,810009,11.16%,4,9,0
https://www.tabnak.ir/fa/news/1178973/آقامحمدی-کسانی-که-سند-غیر-رسمی-دارند-ثبت-نام-کنند,88994,603980,14.73%,1,3,0
https://www.tabnak.ir/fa/news/1178900/خوردن-هسته-زردآلو-عوارض-دارد,87593,752365,11.64%,1,0,0
https://www.tabnak.ir/fa/news/1180692/تحلیلگر-سیا-کودتای-اخیر-تبانی-پریگوژین-و-پوتین-بود,86661,687135,12.61%,1,2,0
https://www.tabnak.ir/fa/news/1180413/مصوبه-تاریخی-والیبال-دنیا-علیه-آمریکا-و-به-سود-ایران,85555,781527,10.95%,2,3,0
https://www.tabnak.ir/fa/news/1174120/مکالمه-خارج-از-ادب-معلم-خصوصی-با-دختر-دانش-آموز,84088,710182,11.84%,1,0,0
https://www.tabnak.ir/fa/news/1181724/فوری-بیرانوند-از-رفتن-به-استقلال-منصرف-شد,82261,519102,15.85%,2,4,0
https://www.tabnak.ir/fa/news/1181074/شکایت-چهار-کشور-از-ایران-نزد-دیوان-بین‌المللی-دادگستری,79595,684088,11.64%,1,4,0
https://www.tabnak.ir/fa/news/1179287/تصاویر-بهت-آور-از-جاده-چالوس,77889,561652,13.87%,1,7,0
https://www.tabnak.ir/fa/news/1178165/انفجار-هولناک-یک-سد-بزرگ-در-اوکراین-فیلمدرخواست-اوکراین-برای-نشست-فوری-شورای-امنیت-درباره-انفجار-سد,75321,644733,11.68%,1,5,0
https://www.tabnak.ir/fa/news/1178314/اولین-خرید-بزرگ-پرسپولیس-برای-فصل-بعد,73884,504665,14.64%,2,4,0
https://www.tabnak.ir/fa/news/1182965/قابی-پربازدید-از-زلنسکی-تنها-در-میان-سران-اروپا,73008,579028,12.61%,1,5,0
https://www.tabnak.ir/fa/news/1182855/هواپیمای-خصوصی-لژیونر-ایرانی-برای-امضای-قرارداد,72958,590856,12.35%,2,5,0
https://www.tabnak.ir/fa/news/1181343/اعجازِ-خداوند-در-معدن-فیروزه,69175,706468,9.79%,1,3,0
https://www.tabnak.ir/fa/news/1176895/التماس-دعای-متفاوت-یک-دانش-آموز-پای-برگه-امتحانی,67304,579507,11.61%,1,5,0
https://www.tabnak.ir/fa/news/1182924/فیلمی-جالب-از-نمرات-کارنامه-دانش-آموز-در-امتحانات,67303,622456,10.81%,1,4,0
https://www.tabnak.ir/fa/news/1182373/دارندگان-این-اسم-و-فامیل‌ها-برای-تغییر-نام-اقدام-کنند,66727,580627,11.49%,1,3,0
https://www.tabnak.ir/fa/news/1178629/گاف-سریال-صداوسیما-در-انتخاب-نام,66311,513059,12.92%,1,9,0
https://www.tabnak.ir/fa/news/1174286/گوشی-جدید-نوکیا-مجیک-مکس-ویژگی-و-قیمت,65379,886915,7.37%,1,6,0
